ID,pr_ID,approverName,approvalTier,status,modifiedAt
76f57b7d-9e84-4288-a88c-2e5c46188e68,c915187c-bb83-46af-b5a2-c5bd64ad2720,Karan,1,pending,2026-06-27T17:21:01Z
04be8232-5f78-440b-80eb-0bbef8acefea,3f635e4c-bf49-4605-ba44-7b641b63cea3,Pooja,2,approved,2026-06-09T10:39:56Z
7914817a-1837-4873-87ea-fd4d47eccc73,a22ff022-160c-4223-9710-2fa882ec9ec8,Isha,1,pending,2026-07-11T18:31:44Z
02280eb0-b4a7-4ec8-a701-8ab3362adc60,1c92e57f-0571-4b2d-84fa-d503dccdff24,Nikhil,1,pending,2026-06-27T23:58:01Z
9e86b143-4eac-4db7-a202-3a0fb76017f6,ac4cde50-74d3-427c-b1e0-640f32ae5dcb,Simran,1,pending,2026-06-26T17:57:10Z
c95e6fc8-9a9b-4f02-8c27-12962a94faa0,68ce9cea-123d-4a9e-bde9-d0092204903f,Neha,1,approved,2026-07-06T04:11:18Z
28437ce5-63c2-49f1-a634-fa457516483e,7348b768-ecb0-4cfd-8ee3-f8891ff1a327,Simran,2,pending,2026-06-10T19:57:30Z
881a17b1-9b60-4aaa-bad8-010c568e8831,b9f85273-49be-4d04-b2ce-7b732bd7ccdf,Amit,1,approved,2026-06-07T23:32:33Z
f6accc26-49da-4fae-93b3-883d9ae81028,b0751570-0ac9-45b5-86d9-353e748ad87f,Nikhil,1,pending,2026-07-02T12:08:52Z
e131e6fe-d6b4-4848-9e3c-8ece71ce4c3c,82270d91-1b45-4058-b108-155760bf86a8,Amit,1,approved,2026-07-01T14:39:40Z
51cb9d43-1eda-4d7b-b972-07b4fc880070,008def3e-0129-4388-b3cb-9c18561fc0df,Rohan,2,pending,2026-06-26T14:09:33Z
5c3ea56d-892b-4cf0-b726-d33fc0601864,c86be56f-6d6f-4c6c-9806-28c09d7406c9,Sanjay,1,pending,2026-06-05T14:08:00Z
f87fb256-990f-427e-8c56-b9a0e1c25c8b,d864303c-7e59-4868-9db1-ea889a1fc679,Rahul,1,pending,2026-07-16T11:50:02Z
c30a0b1e-8e89-4efe-bcb8-a6bb077c1793,3f1838a4-e184-4996-9148-1e7d54265f3a,Pooja,1,approved,2026-06-26T22:00:09Z
ba764ba5-e37a-440b-8f3a-86df1a6c1a02,0a0353f7-fa06-4e4c-9db0-fa395cf2aae6,Varun,1,approved,2026-07-19T15:32:58Z
1a791a57-bad8-497b-8485-d03d9575aeff,68c0cadf-7f71-4976-9ee0-3ed270d23ffc,Sanjay,1,approved,2026-06-15T21:46:38Z
39a1d728-c3f6-412d-9014-2fc9069c76a4,484a312e-6ba0-4072-a6cb-c2bd6d8661ab,Divya,1,pending,2026-06-02T23:22:25Z
4bbcff74-2588-4238-87ea-07d02863c563,ba667471-3121-4ba8-a503-6f40db650cb7,Aditya,1,approved,2026-06-24T06:29:47Z
